Fishery_ShortName,Fishery,Region,GearType_specific,GearType_general,Year,Target,Target_HMS,Overfished_Fm,Overfished_Fm_numeric,Overfishing_Bt,Overfishing_Bt_numeric,TotalDiscards_lbs,TotalBycatch_inds,Discard_Rate,ESA_num,ESA_discards_lbs,ESA_birdturt,IUCN_num,IUCN_discards_lbs,IUCN_birdturt,MMPA,VessPers,Fishery_Tier,CV_mean,CV_median,CV_max
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2013,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,59560471.63,0,0.095112289,0,0,0,0,0,0,1,NA,3,,,
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2014,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,20164749.26,127,0.101205071,1,8634.05,0,16,0,0,2,NA,3,,,
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2015,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,12789723.47,56,0.09329279,1,9370.83,0,0,0,0,2,NA,3,,,
AK: Bristol Bay Red King Crab Pot,Bristol Bay Red King Crab Pot,AK,pots and traps,pots and traps,2014,Red king crab,N,None,0,None,0,7166449,NA,0.417784678,0,0,0,16,0,0,2,NA,3,,,
AK: Bristol Bay Red King Crab Pot,Bristol Bay Red King Crab Pot,AK,pots and traps,pots and traps,2015,Red king crab,N,None,0,None,0,4215238.46,0,0.297161798,0,0,0,0,0,0,2,NA,3,,,
WC: C Halibut Trawl,California Halibut Trawl,WC,bottom trawl,trawl,2010,California halibut,Y,None,0,None,0,758197.55,0,0.838274056,2,0,0,2,6444.55,0,1,53,3,,,
WC: C Halibut Trawl,California Halibut Trawl,WC,bottom trawl,trawl,2011,California halibut,Y,None,0,None,0,565584.09,15,0.727792719,2,479.37,0,9,16642.92,0,1,53,3,0.287954023,0.2445,0.7489
WC: C Halibut Trawl,California Halibut Trawl,WC,bottom trawl,trawl,2012,California halibut,Y,None,0,None,0,650521.35,0,0.803737262,1,968.82,0,5,5558.65,0,1,53,3,0.26655625,0.23535,0.7238
WC: C Halibut Trawl,California Halibut Trawl,WC,bottom trawl,trawl,2013,California halibut,Y,None,0,None,0,722416.14,0,0.795993268,2,7137.31,0,4,21226.59,0,1,53,3,0.275430189,0.226,0.8291
WC: C Halibut Trawl,California Halibut Trawl,WC,bottom trawl,trawl,2014,California halibut,Y,Undefined,0,None,0,731918.89,3,0.760852442,2,2512.74,0,16,17366.68,0,1,53,3,0.33048,0.28195,0.9824
WC: C Halibut Trawl,California Halibut Trawl,WC,bottom trawl,trawl,2015,California halibut,Y,Undefined,0,None,0,622241.49,16,0.709172985,2,9282.24,0,10,21432.69,0,1,53,3,0.243641509,0.19725,0.9923
WC: C Halibut/White Seabass and Other Species Set Gillnet,California Halibut/White Seabass and Other Species Set Gillnet (>3.5 in Mesh),WC,gillnet,gillnet,2010,"California halibut, White seabass",Y,None,0,None,0,NA,0,NA,0,0,0,9,0,0,2,58,,0.651571429,0.615,1.01
WC: C Halibut/White Seabass and Other Species Set Gillnet,California Halibut/White Seabass and Other Species Set Gillnet (>3.5 in Mesh),WC,gillnet,gillnet,2011,"California halibut, White seabass",Y,None,0,None,0,21263,247,0.014326822,1,0,0,5,0,0,2,50,,0.728571429,0.76,0.99
WC: C Halibut/White Seabass and Other Species Set Gillnet,California Halibut/White Seabass and Other Species Set Gillnet (>3.5 in Mesh),WC,gillnet,gillnet,2012,"California halibut, White seabass",Y,None,0,None,0,24468,72,0.016494848,0,0,0,10,0,0,2,50,,0.706153846,0.71,1.04
WC: C Halibut/White Seabass and Other Species Set Gillnet,California Halibut/White Seabass and Other Species Set Gillnet (>3.5 in Mesh),WC,gillnet,gillnet,2013,"California halibut, White seabass",Y,None,0,None,0,22683,0,0.013106151,1,0,0,8,0,0,2,50,,0.759090909,0.77,1.02
WC: C Small-Mesh Drift Gillnet ,California Small-Mesh Drift Gillnet (Mesh Size >3.5 in and < 14 in),WC,small-mesh gillnet,gillnet,2010,"White seabass, California yellowtail",M,None,0,None,0,NA,0,NA,0,0,0,4,0,0,2,24,,0.795714286,0.71,0.96
WC: C Small-Mesh Drift Gillnet ,California Small-Mesh Drift Gillnet (Mesh Size >3.5 in and < 14 in),WC,small-mesh gillnet,gillnet,2011,"White seabass, California yellowtail",M,None,0,None,0,NA,0,NA,0,0,0,0,0,0,2,30,,,,
WC: C Small-Mesh Drift Gillnet ,California Small-Mesh Drift Gillnet (Mesh Size >3.5 in and < 14 in),WC,small-mesh gillnet,gillnet,2012,"White seabass, California yellowtail",M,None,0,None,0,NA,5,NA,0,0,0,0,0,0,1,30,,,,
WC: C Small-Mesh Drift Gillnet ,California Small-Mesh Drift Gillnet (Mesh Size >3.5 in and < 14 in),WC,small-mesh gillnet,gillnet,2013,"White seabass, California yellowtail",Y,None,0,None,0,NA,0,NA,0,0,0,0,0,0,2,NA,,,,
WC: C/O Drift Gillnet for Swordfish and Thresher Shark,California/Oregon Drift Gillnet (Mesh Size >14 in) for Swordfish and Thresher Shark,WC,large-mesh gillnet,gillnet,2010,"Swordfish, Thresher shark",Y,Thresher Shark unknown,0,Thresher Shark unknown,0,NA,0,NA,0,0,0,5,0,0,3,85,3,0.7525,0.845,1.01
WC: C/O Drift Gillnet for Swordfish and Thresher Shark,California/Oregon Drift Gillnet (Mesh Size >14 in) for Swordfish and Thresher Shark,WC,large-mesh gillnet,gillnet,2011,"Swordfish, Thresher shark",Y,Thresher Shark unknown,0,Thresher Shark unknown,0,2488,0,0.001676393,0,0,0,6,0,0,1,NA,3,0.769411765,0.86,1.02
WC: C/O Drift Gillnet for Swordfish and Thresher Shark,California/Oregon Drift Gillnet (Mesh Size >14 in) for Swordfish and Thresher Shark,WC,large-mesh gillnet,gillnet,2012,"Swordfish, Thresher shark",Y,Thresher Shark unknown,0,Thresher Shark unknown,0,3348,0,0.002257019,1,0,0,8,0,5,2,45,3,0.751538462,0.88,0.99
WC: C/O Drift Gillnet for Swordfish and Thresher Shark,California/Oregon Drift Gillnet (Mesh Size >14 in) for Swordfish and Thresher Shark,WC,large-mesh gillnet,gillnet,2013,"Swordfish, Thresher shark",Y,Thresher Shark unknown,0,Thresher Shark unknown,0,4099,0,0.002368387,0,0,5,8,0,0,3,25,3,0.753181818,0.77,1
WC: C/O Drift Gillnet for Swordfish and Thresher Shark,California/Oregon Drift Gillnet (Mesh Size >14 in) for Swordfish and Thresher Shark,WC,large-mesh gillnet,gillnet,2014,"Swordfish, Thresher shark",Y,Thresher shark unknown,0,Thresher shark unknown,0,1646.8,NA,0.0017119,0,0,0,16,1569.68,0,3,19,3,,,
WC: C/O Drift Gillnet for Swordfish and Thresher Shark,California/Oregon Drift Gillnet (Mesh Size >14 in) for Swordfish and Thresher Shark,WC,large-mesh gillnet,gillnet,2015,"Swordfish, Thresher shark",Y,Thresher shark unk,0,Thresher shark unknown,0,648.84,0,0.000739487,0,0,0,6,526.88,0,3,19,3,,,
WC: C/O Nearshore Rockfish,California/Oregon Nearshore Rockfish,WC,trawl,trawl,2010,"Nearshore rockfish, Cabezon, Greenling, California sheepshead, Lingcod",M,Greenling unknown,0,none,0,49519.74,0,0.055035777,2,0,0,1,124.5,0,1,NA,3,,,
WC: C/O Nearshore Rockfish,California/Oregon Nearshore Rockfish,WC,trawl,trawl,2011,"Nearshore rockfish, Cabezon, Greenling, California sheepshead, Lingcod",M,Greenling unknown,0,none,0,439464.09,13.4,0.296107039,2,639.33,0,2,8305.66,0,1,NA,3,0.292973016,0.2044,0.9598
WC: C/O Nearshore Rockfish,California/Oregon Nearshore Rockfish,WC,trawl,trawl,2012,"Nearshore rockfish, Cabezon, Greenling, California sheepshead, Lingcod",M,Greenling unknown,0,none,0,386420.21,30,0.26050117,2,771.61,0,2,70427.46,0,1,NA,3,0.29617191,0.2047,0.9911
WC: C/O Nearshore Rockfish,California/Oregon Nearshore Rockfish,WC,trawl,trawl,2013,"Nearshore rockfish, Cabezon, Greenling, California sheepshead, Lingcod",M,Greenling unknown,0,none,0,534063.75,0,0.308579996,2,9700.24,0,2,118212.26,0,1,NA,3,0.272817647,0.2101,0.9665
WC: C/O Nearshore Rockfish,California/Oregon Nearshore Rockfish,WC,trawl,trawl,2014,"Nearshore rockfish, Cabezon, Greenling, California sheepshead, Lingcod",M,CA greenling; Sheepshead unlisted,0,"Nearshore rockfish unknown; CA Greenling, sheepshead unlisted",0,554119.49,58,0.301123161,2,1076.77,0,16,92399.71,0,1,NA,3,0.244321154,0.19255,0.9398
WC: C/O Nearshore Rockfish,California/Oregon Nearshore Rockfish,WC,trawl,trawl,2015,"Nearshore rockfish, Cabezon, Greenling, California sheepshead, Lingcod",M,CA greenling; Sheepshead unlisted,0,"Nearshore rockfish unknown; CA Greenling, sheepshead unlisted",0,495550.45,22,0.249737513,2,453.14,0,4,88625.54,0,1,NA,3,0.231204124,0.1799,0.8768
AK: GOA Halibut Longline,Gulf of Alaska Halibut Longline,AK,longline,longline,2010,Pacific halibut,M,None,0,None,0,NA,0,NA,0,0,0,0,0,0,1,2521,3,,,
AK: GOA Halibut Longline,Gulf of Alaska Halibut Longline,AK,longline,longline,2011,Pacific halibut,Y,None,0,None,0,NA,0,NA,0,0,0,0,0,0,1,2521,3,,,
AK: GOA Halibut Longline,Gulf of Alaska Halibut Longline,AK,longline,longline,2012,Pacific halibut,Y,None,0,None,0,NA,0,NA,0,0,0,0,0,0,1,2521,3,,,
AK: GOA Halibut Longline,Gulf of Alaska Halibut Longline,AK,longline,longline,2013,Pacific halibut,Y,None,0,None,0,21084486.15,158,0.428416454,0,0,0,2,0,69,1,2280,3,,,
AK: GOA Halibut Longline,Gulf of Alaska Halibut Longline,AK,longline,longline,2014,Pacific halibut,Y,Undefined,0,None,0,11094769.32,151,0.380396791,1,0,0,17,0,33,1,1302,3,,,
AK: GOA Halibut Longline,Gulf of Alaska Halibut Longline,AK,longline,longline,2015,Pacific halibut,Y,Undefined,0,None,0,10195632.39,204,0.346731327,1,0,0,1,0,19,1,855,3,,,
AK: GOA Nonpelagic Trawl,Gulf of Alaska Nonpelagic Trawl,AK,trawl,trawl,2010,"Pacific cod, Arrowtooth flounder, flathead sole, rex sole, deep water flatfish (Dover sole, Greenland halibut, deepsea sole), and shallow water flatfish (yellowfin sole, rock sole, and other flatfish)",Y,None,0,None,0,36984951.08,122,0.269169697,0,0,0,0,0,0,1,,4,,,
AK: GOA Nonpelagic Trawl,Gulf of Alaska Nonpelagic Trawl,AK,trawl,trawl,2011,"Pacific cod, Arrowtooth flounder, flathead sole, rex sole, deep water flatfish (Dover sole, Greenland halibut, deepsea sole), and shallow water flatfish (yellowfin sole, rock sole, and other flatfish)",Y,None,0,None,0,27743227.82,0,0.203628392,0,0,0,0,0,0,1,,4,,,
AK: GOA Nonpelagic Trawl,Gulf of Alaska Nonpelagic Trawl,AK,trawl,trawl,2012,"Pacific cod, Arrowtooth flounder, flathead sole, rex sole, deep water flatfish (Dover sole, Greenland halibut, deepsea sole), and shallow water flatfish (yellowfin sole, rock sole, and other flatfish)",Y,None,0,None,0,24156266.66,0,0.200098731,0,0,0,0,0,0,1,,4,,,
AK: GOA Nonpelagic Trawl,Gulf of Alaska Nonpelagic Trawl,AK,trawl,trawl,2013,"Pacific cod, Arrowtooth flounder, flathead sole, rex sole, deep water flatfish (Dover sole, Greenland halibut, deepsea sole), and shallow water flatfish (yellowfin sole, rock sole, and other flatfish)",Y,None,0,None,0,29896134.09,143,0.205232999,0,0,0,0,0,0,1,,4,,,
AK: GOA Nonpelagic Trawl,Gulf of Alaska Nonpelagic Trawl,AK,trawl,trawl,2014,"Pacific cod, Arrowtooth flounder, flathead sole, rex sole, deep water flatfish (Dover sole, Greenland halibut, deepsea sole), and shallow water flatfish (yellowfin sole, rock sole, and other flatfish)",Y,None,0,None,0,23672972.38,NA,0.14773455,1,24782.4,0,16,0,0,1,NA,4,,,
AK: GOA Nonpelagic Trawl,Gulf of Alaska Nonpelagic Trawl,AK,trawl,trawl,2015,"Pacific cod, Arrowtooth flounder, flathead sole, rex sole, deep water flatfish (Dover sole, Greenland halibut, deepsea sole), and shallow water flatfish (yellowfin sole, rock sole, and other flatfish)",Y,None,0,None,0,13226052.08,0,0.126549126,1,23652.84,0,0,0,0,1,NA,4,,,
AK: GOA Pacific Cod Jig,Gulf of Alaska Pacific Cod Jig,AK,line,line,2010,Pacific cod,M,None,0,None,0,485.02,0,0.000511775,0,0,0,0,0,0,1,NA,1,,,
AK: GOA Pacific Cod Jig,Gulf of Alaska Pacific Cod Jig,AK,line,line,2011,Pacific cod,M,None,0,None,0,NA,0,NA,0,0,0,0,0,0,1,NA,1,,,
